Title,RSS Feed Url,Domain
Android Authority,https://www.youtube.com/feeds/videos.xml?user=AndroidAuthority,youtube.com
Android Authority Podcast,https://androidauthority.libsyn.com/rss,androidauthority.com
Android Central - Android Forums News Reviews Help and Android Wallpapers,http://feeds.androidcentral.com/androidcentral,androidcentral.com
Android Central Podcast,http://feeds.feedburner.com/AndroidCentralPodcast,androidcentral.com
Android Community,https://androidcommunity.com/feed/,androidcommunity.com
Android Police – Android news reviews apps games phones tablets,http://feeds.feedburner.com/AndroidPolice,androidpolice.com
Cult of Android,https://www.cultofandroid.com/feed,cultofandroid.com
Cyanogen Mods,https://www.cyanogenmods.org/feed,cyanogenmods.org
Droid Life,https://www.droid-life.com/feed,droid-life.com
GSMArena.com - Latest articles,https://www.gsmarena.com/rss-news-reviews.php3,gsmarena.com
Phandroid,http://feeds2.feedburner.com/AndroidPhoneFans,phandroid.com
TalkAndroid,http://feeds.feedburner.com/AndroidNewsGoogleAndroidForums,talkandroid.com
