Title,RSS Feed Url,Domain
9to5Mac,https://9to5mac.com/feed,9to5mac.com
Apple,https://www.youtube.com/feeds/videos.xml?user=Apple,youtube.com
Apple Newsroom,https://www.apple.com/newsroom/rss-feed.rss,apple.com
AppleInsider News,https://appleinsider.com/rss/news/,appleinsider.com
Cult of Mac,https://www.cultofmac.com/feed,cultofmac.com
Daring Fireball,https://daringfireball.net/feeds/main,daringfireball.net
MacRumors,https://www.youtube.com/feeds/videos.xml?user=macrumors,youtube.com
MacRumors: Mac News and Rumors - Mac Blog,http://feeds.macrumors.com/MacRumors-Mac,macrumors.com
MacStories,https://www.macstories.net/feed,macstories.net
Macworld.com,https://www.macworld.com/index.rss,macworld.com
OS X Daily,http://feeds.feedburner.com/osxdaily,osxdaily.com
The Loop,https://www.loopinsight.com/feed,loopinsight.com
iMore - The #1 iPhone iPad and iPod touch blog,http://feeds.feedburner.com/TheiPhoneBlog,imore.com
