Title,RSS Feed Url,Domain
A Daily Dose of Architecture Books,http://feeds.feedburner.com/archidose,archidose.blogspot.com
ArchDaily,http://feeds.feedburner.com/Archdaily,archdaily.com
Architectural Digest,https://www.architecturaldigest.com/feed/rss,architecturaldigest.com
Architectural Digest,https://www.youtube.com/feeds/videos.xml?user=ArchitecturalDigest,youtube.com
CONTEMPORIST,https://www.contemporist.com/feed/,contemporist.com
Design MilkArchitecture – Design Milk,https://design-milk.com/category/architecture/feed/,design-milk.com
Journal,https://architizer.wpengine.com/feed/,architizer.com
Living Big In A Tiny House,https://www.youtube.com/feeds/videos.xml?user=livingbigtinyhouse,youtube.com
The Architect’s Newspaper,https://archpaper.com/feed,archpaper.com
architecture – designboom - architecture & design magazine,https://www.designboom.com/architecture/feed/,designboom.com
