Title,RSS Feed Url,Domain
AwkwardFamilyPhotos.com,https://awkwardfamilyphotos.com/feed/,awkwardfamilyphotos.com
Cracked: All Posts,http://feeds.feedburner.com/CrackedRSS,cracked.com
Explosm.net,http://feeds.feedburner.com/Explosm,explosm.net
FAIL Blog,http://feeds.feedburner.com/failblog,failblog.cheezburger.com
I Can Has Cheezburger?,http://feeds.feedburner.com/icanhascheezburger,icanhas.cheezburger.com
PHD Comics,http://phdcomics.com/gradfeed.php,phdcomics.com
Penny Arcade,https://www.penny-arcade.com/feed,penny-arcade.com
PostSecret,https://postsecret.com/feed/?alt=rss,postsecret.com
Saturday Morning Breakfast Cereal,https://www.smbc-comics.com/comic/rss,smbc-comics.com
The Bloggess,https://thebloggess.com/feed/,thebloggess.com
The Daily WTF,http://syndication.thedailywtf.com/TheDailyWtf,thedailywtf.com
The Oatmeal - Comics by Matthew Inman,http://feeds.feedburner.com/oatmealfeed,theoatmeal.com
The Onion,https://www.theonion.com/rss,theonion.com
xkcd.com,https://xkcd.com/rss.xml,xkcd.com
