Title,RSS Feed Url,Domain
Escapist Magazine,https://www.escapistmagazine.com/v2/feed/,escapistmagazine.com
Eurogamer.net,https://www.eurogamer.net/?format=rss,eurogamer.net
GameSpot - All Content,https://www.gamespot.com/feeds/mashup/,gamespot.com
IGN All,http://feeds.ign.com/ign/all,ign.com
Indie Games Plus,https://indiegamesplus.com/feed,indiegamesplus.com
Kotaku,https://kotaku.com/rss,kotaku.com
Makeup and Beauty Blog - Makeup Reviews Swatches and How-To Makeup,https://www.makeupandbeautyblog.com/feed/,makeupandbeautyblog.com
PlayStation.Blog,http://feeds.feedburner.com/psblog,blog.playstation.com
Polygon - All,https://www.polygon.com/rss/index.xml,polygon.com
Rock Paper Shotgun,http://feeds.feedburner.com/RockPaperShotgun,rockpapershotgun.com
Steam RSS News Feed,https://store.steampowered.com/feeds/news.xml,steampowered.com
The Ancient Gaming Noob,http://feeds.feedburner.com/TheAncientGamingNoob,tagn.wordpress.com
TouchArcade - iPhone iPad Android Games Forum,https://toucharcade.com/community/forums/-/index.rss,toucharcade.com
Xbox's Major Nelson,https://majornelson.com/feed/,majornelson.com
