Title,RSS Feed Url,Domain
30 For 30 Podcasts,https://feeds.megaphone.fm/ESP5765452710,espn.com
Dan Carlin's Hardcore History,https://feeds.feedburner.com/dancarlin/history?format=xml,dancarlin.com
History in 28-minutes,https://www.historyisnowmagazine.com/blog?format=RSS,historyisnowmagazine.com
HistoryNet,http://www.historynet.com/feed,historynet.com
The History Reader,https://www.thehistoryreader.com/feed/,thehistoryreader.com
Throughline,https://feeds.npr.org/510333/podcast.xml,npr.org
You Must Remember This,https://feeds.megaphone.fm/YMRT7068253588,youmustrememberthispodcast.com
the memory palace,http://feeds.thememorypalace.us/thememorypalace,thememorypalace.us
Alberto De Bortoli,https://albertodebortoli.com/rss/,albertodebortoli.com
Augmented Code,https://augmentedcode.io/feed/,augmentedcode.io
Benoit Pasquier - Swift Data and more,https://benoitpasquier.com/index.xml,benoitpasquier.com
Fabisevi.ch,https://www.fabisevi.ch/feed.xml,fabisevi.ch
News - Apple Developer,https://developer.apple.com/news/rss/news.rss,developer.apple.com
Ole Begemann,https://oleb.net/blog/atom.xml,oleb.net
Swift by Sundell,https://www.swiftbysundell.com/feed.rss,swiftbysundell.com
Swift by Sundell,https://swiftbysundell.com/feed.rss,swiftbysundell.com
SwiftRocks,https://swiftrocks.com/rss.xml,swiftrocks.com
The Atomic Birdhouse,https://atomicbird.com/index.xml,atomicbird.com
Under the Radar,https://www.relay.fm/radar/feed,relay.fm
Use Your Loaf - iOS Development News & Tips,https://useyourloaf.com/blog/rss.xml,useyourloaf.com
inessential.com,https://inessential.com/xml/rss.xml,inessential.com
tyler.io,https://tyler.io/feed/,tyler.io
