Title,RSS Feed Url,Domain
Better Programming - Medium,https://medium.com/feed/better-programming,betterprogramming.pub
Code as Craft,https://codeascraft.com/feed/atom/,codeascraft.com
Coding Horror,https://feeds.feedburner.com/codinghorror,blog.codinghorror.com
Dan Abramov's Overreacted Blog RSS Feed,https://overreacted.io/rss.xml,overreacted.io
Developer Tea,https://feeds.simplecast.com/dLRotFGk,developertea.com
Facebook Engineering,https://engineering.fb.com/feed/,engineering.fb.com
GitLab,https://about.gitlab.com/atom.xml,about.gitlab.com
Google Developers Blog,http://feeds.feedburner.com/GDBcode,developers.googleblog.com
Google TechTalks,https://www.youtube.com/feeds/videos.xml?user=GoogleTechTalks,youtube.com
HackerNoon.com - Medium,https://medium.com/feed/hackernoon,medium.com
Hanselminutes with Scott Hanselman,https://feeds.simplecast.com/gvtxUiIf,hanselminutes.com
InfoQ,https://feed.infoq.com,infoq.com
Instagram Engineering - Medium,https://instagram-engineering.com/feed/,instagram-engineering.com
Java SQL and jOOQ.,https://blog.jooq.org/feed,blog.jooq.org
JetBrains Blog,https://blog.jetbrains.com/feed,blog.jetbrains.com
Joel on Software,https://www.joelonsoftware.com/feed/,joelonsoftware.com
Martin Fowler,https://martinfowler.com/feed.atom,martinfowler.com
Netflix TechBlog - Medium,https://netflixtechblog.com/feed,netflixtechblog.com
Podcast – Software Engineering Daily,https://softwareengineeringdaily.com/category/podcast/feed,softwareengineeringdaily.com
Posts on &> /dev/null,https://www.thirtythreeforty.net/posts/index.xml,thirtythreeforty.net
Prezi Engineering - Medium,https://engineering.prezi.com/feed,engineering.prezi.com
Programming Throwdown,http://feeds.feedburner.com/ProgrammingThrowdown,programmingthrowdown.com
Programming – The Crazy Programmer,https://www.thecrazyprogrammer.com/category/programming/feed,thecrazyprogrammer.com
Robert Heaton - Blog,https://robertheaton.com/feed.xml,robertheaton.com
Scott Hanselman's Blog,http://feeds.hanselman.com/ScottHanselman,hanselman.com
Scripting News,http://scripting.com/rss.xml,scripting.com
Slack Engineering,https://slack.engineering/feed,slack.engineering
Software Defined Talk,https://feeds.fireside.fm/sdt/rss,softwaredefinedtalk.com
Software Engineering Radio - The Podcast for Professional Software Developers,http://feeds.feedburner.com/se-radio,se-radio.net
SoundCloud Backstage Blog,https://developers.soundcloud.com/blog/blog.rss,developers.soundcloud.com
Spotify Engineering,https://labs.spotify.com/feed/,engineering.atspotify.com
Stack Abuse,https://stackabuse.com/rss/,stackabuse.com
Stack Overflow Blog,https://stackoverflow.blog/feed/,stackoverflow.blog
The 6 Figure Developer,http://6figuredev.com/feed/rss/,6figuredev.com
The Airbnb Tech Blog - Medium,https://medium.com/feed/airbnb-engineering,medium.com
The Cynical Developer,https://cynicaldeveloper.com/feed/podcast,cynical.dev
The GitHub Blog,https://github.blog/feed/,github.blog
The PIT Show: Reflections and Interviews in the Tech World,https://feeds.transistor.fm/productivity-in-tech-podcast,productivityintech.com
The Stack Overflow Podcast,https://feeds.simplecast.com/XA_851k3,stackoverflow.blog
The Women in Tech Show: A Technical Podcast,https://thewomenintechshow.com/category/podcast/feed/,thewomenintechshow.com
