Title,RSS Feed Url,Domain
60-Second Science,http://rss.sciam.com/sciam/60secsciencepodcast,scientificamerican.com
BBC News - Science & Environment,http://feeds.bbci.co.uk/news/science_and_environment/rss.xml,bbc.co.uk
Discovery,https://podcasts.files.bbci.co.uk/p002w557.rss,bbc.co.uk
FlowingData,https://flowingdata.com/feed,flowingdata.com
Gastropod,https://www.omnycontent.com/d/playlist/aaea4e69-af51-495e-afc9-a9760146922b/2a195077-f014-41d2-8313-ab190186b4c2/277bcd5c-0a05-4c14-8ba6-ab190186b4d5/podcast.rss,gastropod.com
Gizmodo,https://gizmodo.com/tag/science/rss,gizmodo.com
Hidden Brain,https://feeds.npr.org/510308/podcast.xml,hiddenbrain.org
Invisibilia,https://feeds.npr.org/510307/podcast.xml,npr.org
NYT > Science,https://rss.nytimes.com/services/xml/rss/nyt/Science.xml,nytimes.com
Nature,https://www.nature.com/nature.rss,feeds.nature.com
Phys.org - latest science and technology news stories,https://phys.org/rss-feed/,phys.org
Probably Science,https://probablyscience.libsyn.com/rss,probablyscience.com
Radiolab,http://feeds.wnyc.org/radiolab,wnycstudios.org
Sawbones: A Marital Tour of Misguided Medicine,https://feeds.simplecast.com/y1LF_sn2,sawbones.simplecast.com
Science Latest,https://www.wired.com/feed/category/science/latest/rss,wired.com
Science Vs,http://feeds.gimletmedia.com/ScienceVs,gimletmedia.com
Science-Based Medicine,https://sciencebasedmedicine.org/feed/,sciencebasedmedicine.org
Scientific American Content: Global,http://rss.sciam.com/ScientificAmerican-Global,scientificamerican.com
Shirtloads of Science,https://shirtloadsofscience.libsyn.com/rss,shirtloadsofscience.libsyn.com
TED Talks Daily (SD video),https://pa.tedcdn.com/feeds/talks.rss,ted.com
The Infinite Monkey Cage,https://podcasts.files.bbci.co.uk/b00snr0w.rss,bbc.co.uk
This Week in Science – The Kickass Science Podcast,http://www.twis.org/feed/,twis.org
