Title,RSS Feed Url,Domain
AVC,https://avc.com/feed/,avc.com
Both Sides of the Table - Medium,https://bothsidesofthetable.com/feed,bothsidesofthetable.com
Entrepreneur,http://feeds.feedburner.com/entrepreneur/latest,entrepreneur.com
Feld Thoughts,https://feld.com/feed,feld.com
GaryVee,https://www.youtube.com/feeds/videos.xml?user=GaryVaynerchuk,youtube.com
Hacker News: Front Page,https://hnrss.org/frontpage,news.ycombinator.com
Inc.com,https://www.inc.com/rss/,inc.com
Inside Intercom,https://www.intercom.com/blog/feed,intercom.com
Marie Forleo,https://www.youtube.com/feeds/videos.xml?user=marieforleo,youtube.com
Masters of Scale with Reid Hoffman,https://rss.art19.com/masters-of-scale,mastersofscale.com
Paul Graham: Essays,http://www.aaronsw.com/2002/feeds/pgessays.rss,paulgraham.com
Product Hunt — The best new products every day,https://www.producthunt.com/feed,producthunt.com
Quick Sprout,https://www.quicksprout.com/rss,quicksprout.com
Small Business Trends,https://feeds2.feedburner.com/SmallBusinessTrends,smallbiztrends.com
Steve Blank,https://steveblank.com/feed/,steveblank.com
The Startup Junkies Podcast,https://startupjunkie.libsyn.com/rss,startupjunkie.org
The Tim Ferriss Show,https://rss.art19.com/tim-ferriss-show,tim.blog
This Week in Startups - Video,http://feeds.feedburner.com/twistvid,thisweekinstartups.com
VentureBeat,https://feeds.feedburner.com/venturebeat/SZYF,venturebeat.com
blog – Feld Thoughts,https://feld.com/archives/tag/blog/feed,feld.com
