Title,RSS Feed Url,Domain
Accidental Tech Podcast,https://atp.fm/rss,atp.fm
Analog(ue),https://www.relay.fm/analogue/feed,relay.fm
Ars Technica,http://feeds.arstechnica.com/arstechnica/index,arstechnica.com
CNET,https://www.youtube.com/feeds/videos.xml?user=CNETTV,youtube.com
CNET News,https://www.cnet.com/rss/news/,cnet.com
Clockwise,https://www.relay.fm/clockwise/feed,relay.fm
Gizmodo,https://gizmodo.com/rss,gizmodo.com
Hacker News,https://news.ycombinator.com/rss,news.ycombinator.com
Lifehacker,https://lifehacker.com/rss,lifehacker.com
Linus Tech Tips,https://www.youtube.com/feeds/videos.xml?user=LinusTechTips,youtube.com
Marques Brownlee,https://www.youtube.com/feeds/videos.xml?user=marquesbrownlee,youtube.com
Mashable,http://feeds.mashable.com/Mashable,mashable.com
Reply All,https://feeds.megaphone.fm/replyall,gimletmedia.com
Rocket,https://www.relay.fm/rocket/feed,relay.fm
Slashdot,http://rss.slashdot.org/Slashdot/slashdotMain,slashdot.org
Stratechery by Ben Thompson,http://stratechery.com/feed/,stratechery.com
TechCrunch,http://feeds.feedburner.com/TechCrunch,techcrunch.com
The Keyword,https://www.blog.google/rss/,blog.google
The Next Web,https://thenextweb.com/feed/,thenextweb.com
The Verge,https://www.youtube.com/feeds/videos.xml?user=TheVerge,youtube.com
The Verge - All Posts,https://www.theverge.com/rss/index.xml,theverge.com
The Vergecast,https://feeds.megaphone.fm/vergecast,theverge.com
Unbox Therapy,https://www.youtube.com/feeds/videos.xml?user=unboxtherapy,youtube.com
